in_channels,out_channels,kernel_size,stride,groups,hw
128,128,1,1,1,28
128,32,1,1,1,28
32,128,1,1,1,28
128,128,3,1,16,14
128,128,3,2,16,14
128,128,1,1,1,14
128,32,1,1,1,14
32,128,1,1,1,14
64,64,3,1,8,14
64,64,3,2,8,14
64,64,1,1,1,14
64,16,1,1,1,14
16,64,1,1,1,14
64,64,3,1,8,7
64,64,3,2,8,7
64,64,1,1,1,7
64,16,1,1,1,7
16,64,1,1,1,7
72,72,3,1,9,14
72,72,3,2,9,14
72,72,1,1,1,14
72,18,1,1,1,14
18,72,1,1,1,14
72,72,3,1,9,7
72,72,3,2,9,7
72,72,1,1,1,7
72,18,1,1,1,7
18,72,1,1,1,7
80,80,3,1,10,14
80,80,3,2,10,14
80,80,1,1,1,14
80,20,1,1,1,14
20,80,1,1,1,14
80,80,3,1,10,7
80,80,3,2,10,7
80,80,1,1,1,7
80,20,1,1,1,7
20,80,1,1,1,7
88,88,3,1,11,14
88,88,3,2,11,14
88,88,1,1,1,14
88,22,1,1,1,14
22,88,1,1,1,14
88,88,3,1,11,7
88,88,3,2,11,7
88,88,1,1,1,7
88,22,1,1,1,7
22,88,1,1,1,7
96,96,3,1,12,14
96,96,3,2,12,14
96,96,1,1,1,14
96,24,1,1,1,14
24,96,1,1,1,14
96,96,3,1,12,7
96,96,3,2,12,7
96,96,1,1,1,7
96,24,1,1,1,7
24,96,1,1,1,7
104,104,3,1,13,14
104,104,3,2,13,14
104,104,1,1,1,14
104,26,1,1,1,14
26,104,1,1,1,14
104,104,3,1,13,7
104,104,3,2,13,7
104,104,1,1,1,7
104,26,1,1,1,7
26,104,1,1,1,7
112,112,3,1,14,14
112,112,3,2,14,14
112,112,1,1,1,14
112,28,1,1,1,14
28,112,1,1,1,14
112,112,3,1,14,7
112,112,3,2,14,7
112,112,1,1,1,7
112,28,1,1,1,7
28,112,1,1,1,7
120,120,3,1,15,14
120,120,3,2,15,14
120,120,1,1,1,14
120,30,1,1,1,14
30,120,1,1,1,14
120,120,3,1,15,7
120,120,3,2,15,7
120,120,1,1,1,7
120,30,1,1,1,7
30,120,1,1,1,7
128,128,3,1,16,14
128,128,3,2,16,14
128,128,1,1,1,14
128,32,1,1,1,14
32,128,1,1,1,14
128,128,3,1,16,7
128,128,3,2,16,7
128,128,1,1,1,7
128,32,1,1,1,7
32,128,1,1,1,7
136,136,3,1,17,14
136,136,3,2,17,14
136,136,1,1,1,14
136,34,1,1,1,14
34,136,1,1,1,14
136,136,3,1,17,7
136,136,3,2,17,7
136,136,1,1,1,7
136,34,1,1,1,7
34,136,1,1,1,7
144,144,3,1,18,14
144,144,3,2,18,14
144,144,1,1,1,14
144,36,1,1,1,14
36,144,1,1,1,14
144,144,3,1,18,7
144,144,3,2,18,7
144,144,1,1,1,7
144,36,1,1,1,7
36,144,1,1,1,7
152,152,3,1,19,14
152,152,3,2,19,14
152,152,1,1,1,14
152,38,1,1,1,14
38,152,1,1,1,14
152,152,3,1,19,7
152,152,3,2,19,7
152,152,1,1,1,7
152,38,1,1,1,7
38,152,1,1,1,7
160,160,3,1,20,14
160,160,3,2,20,14
160,160,1,1,1,14
160,40,1,1,1,14
40,160,1,1,1,14
160,160,3,1,20,7
160,160,3,2,20,7
160,160,1,1,1,7
160,40,1,1,1,7
40,160,1,1,1,7
168,168,3,1,21,14
168,168,3,2,21,14
168,168,1,1,1,14
168,42,1,1,1,14
42,168,1,1,1,14
168,168,3,1,21,7
168,168,3,2,21,7
168,168,1,1,1,7
168,42,1,1,1,7
42,168,1,1,1,7
176,176,3,1,22,14
176,176,3,2,22,14
176,176,1,1,1,14
176,44,1,1,1,14
44,176,1,1,1,14
176,176,3,1,22,7
176,176,3,2,22,7
176,176,1,1,1,7
176,44,1,1,1,7
44,176,1,1,1,7
184,184,3,1,23,14
184,184,3,2,23,14
184,184,1,1,1,14
184,46,1,1,1,14
46,184,1,1,1,14
184,184,3,1,23,7
184,184,3,2,23,7
184,184,1,1,1,7
184,46,1,1,1,7
46,184,1,1,1,7
192,192,3,1,24,14
192,192,3,2,24,14
192,192,1,1,1,14
192,48,1,1,1,14
48,192,1,1,1,14
192,192,3,1,24,7
192,192,3,2,24,7
192,192,1,1,1,7
192,48,1,1,1,7
48,192,1,1,1,7
200,200,3,1,25,14
200,200,3,2,25,14
200,200,1,1,1,14
200,50,1,1,1,14
50,200,1,1,1,14
200,200,3,1,25,7
200,200,3,2,25,7
200,200,1,1,1,7
200,50,1,1,1,7
50,200,1,1,1,7
208,208,3,1,26,14
208,208,3,2,26,14
208,208,1,1,1,14
208,52,1,1,1,14
52,208,1,1,1,14
208,208,3,1,26,7
208,208,3,2,26,7
208,208,1,1,1,7
208,52,1,1,1,7
52,208,1,1,1,7
216,216,3,1,27,14
216,216,3,2,27,14
216,216,1,1,1,14
216,54,1,1,1,14
54,216,1,1,1,14
216,216,3,1,27,7
216,216,3,2,27,7
216,216,1,1,1,7
216,54,1,1,1,7
54,216,1,1,1,7
224,224,3,1,28,14
224,224,3,2,28,14
224,224,1,1,1,14
224,56,1,1,1,14
56,224,1,1,1,14
224,224,3,1,28,7
224,224,3,2,28,7
224,224,1,1,1,7
224,56,1,1,1,7
56,224,1,1,1,7
232,232,3,1,29,14
232,232,3,2,29,14
232,232,1,1,1,14
232,58,1,1,1,14
58,232,1,1,1,14
232,232,3,1,29,7
232,232,3,2,29,7
232,232,1,1,1,7
232,58,1,1,1,7
58,232,1,1,1,7
240,240,3,1,30,14
240,240,3,2,30,14
240,240,1,1,1,14
240,60,1,1,1,14
60,240,1,1,1,14
240,240,3,1,30,7
240,240,3,2,30,7
240,240,1,1,1,7
240,60,1,1,1,7
60,240,1,1,1,7
248,248,3,1,31,14
248,248,3,2,31,14
248,248,1,1,1,14
248,62,1,1,1,14
62,248,1,1,1,14
248,248,3,1,31,7
248,248,3,2,31,7
248,248,1,1,1,7
248,62,1,1,1,7
62,248,1,1,1,7
256,256,3,1,32,14
256,256,3,2,32,14
256,256,1,1,1,14
256,64,1,1,1,14
64,256,1,1,1,14
256,256,3,1,32,7
256,256,3,2,32,7
256,256,1,1,1,7
256,64,1,1,1,7
64,256,1,1,1,7
264,264,3,1,33,14
264,264,3,2,33,14
264,264,1,1,1,14
264,66,1,1,1,14
66,264,1,1,1,14
264,264,3,1,33,7
264,264,3,2,33,7
264,264,1,1,1,7
264,66,1,1,1,7
66,264,1,1,1,7
272,272,3,1,34,14
272,272,3,2,34,14
272,272,1,1,1,14
272,68,1,1,1,14
