in_channels,out_channels,kernel_size,stride,groups,hw
544,544,3,1,34,14
544,544,3,2,34,14
544,544,1,1,1,14
544,136,1,1,1,14
136,544,1,1,1,14
544,544,3,1,34,7
544,544,3,2,34,7
544,544,1,1,1,7
544,136,1,1,1,7
136,544,1,1,1,7
560,560,3,1,35,14
560,560,3,2,35,14
560,560,1,1,1,14
560,140,1,1,1,14
140,560,1,1,1,14
560,560,3,1,35,7
560,560,3,2,35,7
560,560,1,1,1,7
560,140,1,1,1,7
140,560,1,1,1,7
576,576,3,1,36,14
576,576,3,2,36,14
576,576,1,1,1,14
576,144,1,1,1,14
144,576,1,1,1,14
576,576,3,1,36,7
576,576,3,2,36,7
576,576,1,1,1,7
576,144,1,1,1,7
144,576,1,1,1,7
592,592,3,1,37,14
592,592,3,2,37,14
592,592,1,1,1,14
592,148,1,1,1,14
148,592,1,1,1,14
592,592,3,1,37,7
592,592,3,2,37,7
592,592,1,1,1,7
592,148,1,1,1,7
148,592,1,1,1,7
608,608,3,1,38,14
608,608,3,2,38,14
608,608,1,1,1,14
608,152,1,1,1,14
152,608,1,1,1,14
608,608,3,1,38,7
608,608,3,2,38,7
608,608,1,1,1,7
608,152,1,1,1,7
152,608,1,1,1,7
624,624,3,1,39,14
624,624,3,2,39,14
624,624,1,1,1,14
624,156,1,1,1,14
156,624,1,1,1,14
624,624,3,1,39,7
624,624,3,2,39,7
624,624,1,1,1,7
624,156,1,1,1,7
156,624,1,1,1,7
640,640,3,1,40,14
640,640,3,2,40,14
640,640,1,1,1,14
640,160,1,1,1,14
160,640,1,1,1,14
640,640,3,1,40,7
640,640,3,2,40,7
640,640,1,1,1,7
640,160,1,1,1,7
160,640,1,1,1,7
656,656,3,1,41,14
656,656,3,2,41,14
656,656,1,1,1,14
656,164,1,1,1,14
164,656,1,1,1,14
656,656,3,1,41,7
656,656,3,2,41,7
656,656,1,1,1,7
656,164,1,1,1,7
164,656,1,1,1,7
672,672,3,1,42,14
672,672,3,2,42,14
672,672,1,1,1,14
672,168,1,1,1,14
168,672,1,1,1,14
672,672,3,1,42,7
672,672,3,2,42,7
672,672,1,1,1,7
672,168,1,1,1,7
168,672,1,1,1,7
32,32,3,1,1,112
16,32,1,1,1,112
10,32,1,1,1,112
32,32,3,2,1,112
16,32,1,2,1,112
10,32,1,2,1,112
32,32,1,1,1,112
32,8,1,1,1,112
8,32,1,1,1,112
32,32,3,1,1,56
16,32,1,1,1,56
10,32,1,1,1,56
32,32,3,2,1,56
16,32,1,2,1,56
10,32,1,2,1,56
32,32,1,1,1,56
32,8,1,1,1,56
8,32,1,1,1,56
64,64,3,1,2,112
32,64,1,1,1,112
21,64,1,1,1,112
64,64,3,2,2,112
32,64,1,2,1,112
21,64,1,2,1,112
64,64,1,1,1,112
64,16,1,1,1,112
16,64,1,1,1,112
64,64,3,1,2,56
32,64,1,1,1,56
21,64,1,1,1,56
64,64,3,2,2,56
32,64,1,2,1,56
21,64,1,2,1,56
64,64,1,1,1,56
64,16,1,1,1,56
16,64,1,1,1,56
96,96,3,1,3,112
48,96,1,1,1,112
32,96,1,1,1,112
96,96,3,2,3,112
48,96,1,2,1,112
32,96,1,2,1,112
96,96,1,1,1,112
96,24,1,1,1,112
24,96,1,1,1,112
96,96,3,1,3,56
48,96,1,1,1,56
32,96,1,1,1,56
96,96,3,2,3,56
48,96,1,2,1,56
32,96,1,2,1,56
96,96,1,1,1,56
96,24,1,1,1,56
24,96,1,1,1,56
128,128,3,1,4,112
64,128,1,1,1,112
42,128,1,1,1,112
128,128,3,2,4,112
64,128,1,2,1,112
42,128,1,2,1,112
128,128,1,1,1,112
128,32,1,1,1,112
32,128,1,1,1,112
128,128,3,1,4,56
64,128,1,1,1,56
42,128,1,1,1,56
128,128,3,2,4,56
64,128,1,2,1,56
42,128,1,2,1,56
128,128,1,1,1,56
128,32,1,1,1,56
32,128,1,1,1,56
64,64,3,1,2,56
64,64,3,2,2,56
64,64,1,1,1,56
64,16,1,1,1,56
16,64,1,1,1,56
64,64,3,1,2,28
64,64,3,2,2,28
64,64,1,1,1,28
64,16,1,1,1,28
16,64,1,1,1,28
96,96,3,1,3,56
96,96,3,2,3,56
96,96,1,1,1,56
96,24,1,1,1,56
24,96,1,1,1,56
96,96,3,1,3,28
96,96,3,2,3,28
96,96,1,1,1,28
96,24,1,1,1,28
24,96,1,1,1,28
128,128,3,1,4,56
128,128,3,2,4,56
128,128,1,1,1,56
128,32,1,1,1,56
32,128,1,1,1,56
128,128,3,1,4,28
128,128,3,2,4,28
128,128,1,1,1,28
128,32,1,1,1,28
32,128,1,1,1,28
160,160,3,1,5,56
160,160,3,2,5,56
160,160,1,1,1,56
160,40,1,1,1,56
40,160,1,1,1,56
160,160,3,1,5,28
160,160,3,2,5,28
160,160,1,1,1,28
160,40,1,1,1,28
40,160,1,1,1,28
192,192,3,1,6,56
192,192,3,2,6,56
192,192,1,1,1,56
192,48,1,1,1,56
48,192,1,1,1,56
192,192,3,1,6,28
192,192,3,2,6,28
192,192,1,1,1,28
192,48,1,1,1,28
48,192,1,1,1,28
224,224,3,1,7,56
224,224,3,2,7,56
224,224,1,1,1,56
224,56,1,1,1,56
56,224,1,1,1,56
224,224,3,1,7,28
224,224,3,2,7,28
224,224,1,1,1,28
224,56,1,1,1,28
56,224,1,1,1,28
256,256,3,1,8,56
256,256,3,2,8,56
256,256,1,1,1,56
256,64,1,1,1,56
64,256,1,1,1,56
256,256,3,1,8,28
256,256,3,2,8,28
256,256,1,1,1,28
256,64,1,1,1,28
64,256,1,1,1,28
128,128,3,1,4,28
128,128,3,2,4,28
128,128,1,1,1,28
128,32,1,1,1,28
32,128,1,1,1,28
128,128,3,1,4,14
128,128,3,2,4,14
128,128,1,1,1,14
128,32,1,1,1,14
32,128,1,1,1,14
160,160,3,1,5,28
160,160,3,2,5,28
160,160,1,1,1,28
160,40,1,1,1,28
40,160,1,1,1,28
160,160,3,1,5,14
160,160,3,2,5,14
160,160,1,1,1,14
160,40,1,1,1,14
40,160,1,1,1,14
192,192,3,1,6,28
192,192,3,2,6,28
192,192,1,1,1,28
192,48,1,1,1,28
48,192,1,1,1,28
192,192,3,1,6,14
192,192,3,2,6,14
192,192,1,1,1,14
192,48,1,1,1,14
48,192,1,1,1,14
224,224,3,1,7,28
224,224,3,2,7,28
224,224,1,1,1,28
224,56,1,1,1,28
56,224,1,1,1,28
224,224,3,1,7,14
224,224,3,2,7,14
224,224,1,1,1,14
224,56,1,1,1,14
56,224,1,1,1,14
256,256,3,1,8,28
256,256,3,2,8,28
256,256,1,1,1,28
256,64,1,1,1,28
64,256,1,1,1,28
256,256,3,1,8,14
256,256,3,2,8,14
256,256,1,1,1,14
256,64,1,1,1,14
64,256,1,1,1,14
288,288,3,1,9,28
288,288,3,2,9,28
288,288,1,1,1,28
288,72,1,1,1,28
72,288,1,1,1,28
288,288,3,1,9,14
288,288,3,2,9,14
288,288,1,1,1,14
288,72,1,1,1,14
72,288,1,1,1,14
320,320,3,1,10,28
320,320,3,2,10,28
320,320,1,1,1,28
320,80,1,1,1,28
80,320,1,1,1,28
320,320,3,1,10,14
320,320,3,2,10,14
320,320,1,1,1,14
320,80,1,1,1,14
80,320,1,1,1,14
352,352,3,1,11,28
352,352,3,2,11,28
352,352,1,1,1,28
352,88,1,1,1,28
88,352,1,1,1,28
352,352,3,1,11,14
352,352,3,2,11,14
352,352,1,1,1,14
352,88,1,1,1,14
88,352,1,1,1,14
384,384,3,1,12,28
384,384,3,2,12,28
384,384,1,1,1,28
384,96,1,1,1,28
96,384,1,1,1,28
384,384,3,1,12,14
384,384,3,2,12,14
384,384,1,1,1,14
384,96,1,1,1,14
96,384,1,1,1,14
416,416,3,1,13,28
416,416,3,2,13,28
416,416,1,1,1,28
416,104,1,1,1,28
104,416,1,1,1,28
416,416,3,1,13,14
416,416,3,2,13,14
416,416,1,1,1,14
416,104,1,1,1,14
104,416,1,1,1,14
448,448,3,1,14,28
448,448,3,2,14,28
448,448,1,1,1,28
448,112,1,1,1,28
112,448,1,1,1,28
448,448,3,1,14,14
448,448,3,2,14,14
448,448,1,1,1,14
448,112,1,1,1,14
112,448,1,1,1,14
480,480,3,1,15,28
480,480,3,2,15,28
480,480,1,1,1,28
480,120,1,1,1,28
120,480,1,1,1,28
480,480,3,1,15,14
480,480,3,2,15,14
480,480,1,1,1,14
480,120,1,1,1,14
120,480,1,1,1,14
512,512,3,1,16,28
512,512,3,2,16,28
512,512,1,1,1,28
512,128,1,1,1,28
128,512,1,1,1,28
512,512,3,1,16,14
512,512,3,2,16,14
512,512,1,1,1,14
512,128,1,1,1,14
128,512,1,1,1,14
256,256,3,1,8,14
256,256,3,2,8,14
256,256,1,1,1,14
256,64,1,1,1,14
64,256,1,1,1,14
256,256,3,1,8,7
256,256,3,2,8,7
256,256,1,1,1,7
256,64,1,1,1,7
64,256,1,1,1,7
288,288,3,1,9,14
288,288,3,2,9,14
288,288,1,1,1,14
288,72,1,1,1,14
72,288,1,1,1,14
288,288,3,1,9,7
288,288,3,2,9,7
288,288,1,1,1,7
288,72,1,1,1,7
72,288,1,1,1,7
320,320,3,1,10,14
320,320,3,2,10,14
320,320,1,1,1,14
320,80,1,1,1,14
80,320,1,1,1,14
320,320,3,1,10,7
320,320,3,2,10,7
320,320,1,1,1,7
320,80,1,1,1,7
80,320,1,1,1,7
352,352,3,1,11,14
352,352,3,2,11,14
352,352,1,1,1,14
352,88,1,1,1,14
88,352,1,1,1,14
352,352,3,1,11,7
352,352,3,2,11,7
352,352,1,1,1,7
352,88,1,1,1,7
88,352,1,1,1,7
384,384,3,1,12,14
384,384,3,2,12,14
384,384,1,1,1,14
384,96,1,1,1,14
96,384,1,1,1,14
384,384,3,1,12,7
384,384,3,2,12,7
384,384,1,1,1,7
384,96,1,1,1,7
96,384,1,1,1,7
416,416,3,1,13,14
416,416,3,2,13,14
416,416,1,1,1,14
416,104,1,1,1,14
104,416,1,1,1,14
416,416,3,1,13,7
416,416,3,2,13,7
416,416,1,1,1,7
416,104,1,1,1,7
104,416,1,1,1,7
448,448,3,1,14,14
448,448,3,2,14,14
448,448,1,1,1,14
448,112,1,1,1,14
112,448,1,1,1,14
448,448,3,1,14,7
448,448,3,2,14,7
448,448,1,1,1,7
448,112,1,1,1,7
112,448,1,1,1,7
480,480,3,1,15,14
480,480,3,2,15,14
480,480,1,1,1,14
480,120,1,1,1,14
120,480,1,1,1,14
480,480,3,1,15,7
480,480,3,2,15,7
480,480,1,1,1,7
480,120,1,1,1,7
120,480,1,1,1,7
512,512,3,1,16,14
512,512,3,2,16,14
512,512,1,1,1,14
512,128,1,1,1,14
128,512,1,1,1,14
512,512,3,1,16,7
512,512,3,2,16,7
512,512,1,1,1,7
512,128,1,1,1,7
128,512,1,1,1,7
544,544,3,1,17,14
544,544,3,2,17,14
544,544,1,1,1,14
544,136,1,1,1,14
136,544,1,1,1,14
544,544,3,1,17,7
544,544,3,2,17,7
544,544,1,1,1,7
544,136,1,1,1,7
136,544,1,1,1,7
576,576,3,1,18,14
576,576,3,2,18,14
576,576,1,1,1,14
576,144,1,1,1,14
144,576,1,1,1,14
576,576,3,1,18,7
576,576,3,2,18,7
576,576,1,1,1,7
576,144,1,1,1,7
144,576,1,1,1,7
608,608,3,1,19,14
608,608,3,2,19,14
608,608,1,1,1,14
608,152,1,1,1,14
152,608,1,1,1,14
608,608,3,1,19,7
608,608,3,2,19,7
608,608,1,1,1,7
608,152,1,1,1,7
152,608,1,1,1,7
640,640,3,1,20,14
640,640,3,2,20,14
640,640,1,1,1,14
640,160,1,1,1,14
160,640,1,1,1,14
640,640,3,1,20,7
640,640,3,2,20,7
640,640,1,1,1,7
640,160,1,1,1,7
160,640,1,1,1,7
672,672,3,1,21,14
672,672,3,2,21,14
672,672,1,1,1,14
672,168,1,1,1,14
168,672,1,1,1,14
672,672,3,1,21,7
672,672,3,2,21,7
672,672,1,1,1,7
672,168,1,1,1,7
168,672,1,1,1,7
704,704,3,1,22,14
704,704,3,2,22,14
704,704,1,1,1,14
704,176,1,1,1,14
176,704,1,1,1,14
704,704,3,1,22,7
704,704,3,2,22,7
704,704,1,1,1,7
704,176,1,1,1,7
176,704,1,1,1,7
736,736,3,1,23,14
736,736,3,2,23,14
736,736,1,1,1,14
736,184,1,1,1,14
184,736,1,1,1,14
736,736,3,1,23,7
736,736,3,2,23,7
736,736,1,1,1,7
736,184,1,1,1,7
184,736,1,1,1,7
768,768,3,1,24,14
768,768,3,2,24,14
768,768,1,1,1,14
768,192,1,1,1,14
192,768,1,1,1,14
768,768,3,1,24,7
768,768,3,2,24,7
768,768,1,1,1,7
768,192,1,1,1,7
192,768,1,1,1,7
800,800,3,1,25,14
800,800,3,2,25,14
800,800,1,1,1,14
800,200,1,1,1,14
200,800,1,1,1,14
800,800,3,1,25,7
800,800,3,2,25,7
800,800,1,1,1,7
800,200,1,1,1,7
200,800,1,1,1,7
832,832,3,1,26,14
832,832,3,2,26,14
832,832,1,1,1,14
832,208,1,1,1,14
208,832,1,1,1,14
832,832,3,1,26,7
832,832,3,2,26,7
832,832,1,1,1,7
832,208,1,1,1,7
208,832,1,1,1,7
864,864,3,1,27,14
864,864,3,2,27,14
864,864,1,1,1,14
864,216,1,1,1,14
216,864,1,1,1,14
864,864,3,1,27,7
864,864,3,2,27,7
864,864,1,1,1,7
864,216,1,1,1,7
216,864,1,1,1,7
896,896,3,1,28,14
896,896,3,2,28,14
896,896,1,1,1,14
896,224,1,1,1,14
224,896,1,1,1,14
896,896,3,1,28,7
896,896,3,2,28,7
896,896,1,1,1,7
896,224,1,1,1,7
224,896,1,1,1,7
928,928,3,1,29,14
928,928,3,2,29,14
928,928,1,1,1,14
928,232,1,1,1,14
232,928,1,1,1,14
928,928,3,1,29,7
928,928,3,2,29,7
928,928,1,1,1,7
928,232,1,1,1,7
232,928,1,1,1,7
960,960,3,1,30,14
960,960,3,2,30,14
960,960,1,1,1,14
960,240,1,1,1,14
240,960,1,1,1,14
960,960,3,1,30,7
960,960,3,2,30,7
960,960,1,1,1,7
960,240,1,1,1,7
240,960,1,1,1,7
992,992,3,1,31,14
992,992,3,2,31,14
992,992,1,1,1,14
992,248,1,1,1,14
248,992,1,1,1,14
992,992,3,1,31,7
992,992,3,2,31,7
992,992,1,1,1,7
992,248,1,1,1,7
248,992,1,1,1,7
1024,1024,3,1,32,14
1024,1024,3,2,32,14
1024,1024,1,1,1,14
1024,256,1,1,1,14
256,1024,1,1,1,14
1024,1024,3,1,32,7
1024,1024,3,2,32,7
1024,1024,1,1,1,7
1024,256,1,1,1,7
256,1024,1,1,1,7
1056,1056,3,1,33,14
1056,1056,3,2,33,14
1056,1056,1,1,1,14
1056,264,1,1,1,14
264,1056,1,1,1,14
1056,1056,3,1,33,7
1056,1056,3,2,33,7
1056,1056,1,1,1,7
1056,264,1,1,1,7
264,1056,1,1,1,7
1088,1088,3,1,34,14
1088,1088,3,2,34,14
1088,1088,1,1,1,14
1088,272,1,1,1,14
272,1088,1,1,1,14
1088,1088,3,1,34,7
1088,1088,3,2,34,7
1088,1088,1,1,1,7
1088,272,1,1,1,7
272,1088,1,1,1,7
1120,1120,3,1,35,14
1120,1120,3,2,35,14
1120,1120,1,1,1,14
1120,280,1,1,1,14
280,1120,1,1,1,14
1120,1120,3,1,35,7
1120,1120,3,2,35,7
1120,1120,1,1,1,7
1120,280,1,1,1,7
280,1120,1,1,1,7
1152,1152,3,1,36,14
1152,1152,3,2,36,14
1152,1152,1,1,1,14
1152,288,1,1,1,14
288,1152,1,1,1,14
1152,1152,3,1,36,7
1152,1152,3,2,36,7
1152,1152,1,1,1,7
1152,288,1,1,1,7
288,1152,1,1,1,7
1184,1184,3,1,37,14
1184,1184,3,2,37,14
1184,1184,1,1,1,14
1184,296,1,1,1,14
296,1184,1,1,1,14
1184,1184,3,1,37,7
1184,1184,3,2,37,7
1184,1184,1,1,1,7
1184,296,1,1,1,7
296,1184,1,1,1,7
1216,1216,3,1,38,14
1216,1216,3,2,38,14
1216,1216,1,1,1,14
1216,304,1,1,1,14
304,1216,1,1,1,14
1216,1216,3,1,38,7
1216,1216,3,2,38,7
1216,1216,1,1,1,7
1216,304,1,1,1,7
304,1216,1,1,1,7
1248,1248,3,1,39,14
1248,1248,3,2,39,14
1248,1248,1,1,1,14
1248,312,1,1,1,14
312,1248,1,1,1,14
1248,1248,3,1,39,7
1248,1248,3,2,39,7
1248,1248,1,1,1,7
1248,312,1,1,1,7
312,1248,1,1,1,7
1280,1280,3,1,40,14
1280,1280,3,2,40,14
1280,1280,1,1,1,14
1280,320,1,1,1,14
320,1280,1,1,1,14
1280,1280,3,1,40,7
1280,1280,3,2,40,7
1280,1280,1,1,1,7
1280,320,1,1,1,7
320,1280,1,1,1,7
1312,1312,3,1,41,14
1312,1312,3,2,41,14
1312,1312,1,1,1,14
1312,328,1,1,1,14
328,1312,1,1,1,14
1312,1312,3,1,41,7
1312,1312,3,2,41,7
1312,1312,1,1,1,7
1312,328,1,1,1,7
328,1312,1,1,1,7
1344,1344,3,1,42,14
1344,1344,3,2,42,14
1344,1344,1,1,1,14
1344,336,1,1,1,14
336,1344,1,1,1,14
1344,1344,3,1,42,7
1344,1344,3,2,42,7
1344,1344,1,1,1,7
1344,336,1,1,1,7
336,1344,1,1,1,7
24,24,3,1,1,112
12,24,1,1,1,112
8,24,1,1,1,112
24,24,3,2,1,112
12,24,1,2,1,112
8,24,1,2,1,112
24,24,1,1,1,112
24,6,1,1,1,112
6,24,1,1,1,112
24,24,3,1,1,56
12,24,1,1,1,56
8,24,1,1,1,56
24,24,3,2,1,56
12,24,1,2,1,56
8,24,1,2,1,56
24,24,1,1,1,56
24,6,1,1,1,56
6,24,1,1,1,56
48,48,3,1,2,112
24,48,1,1,1,112
16,48,1,1,1,112
48,48,3,2,2,112
24,48,1,2,1,112
16,48,1,2,1,112
48,48,1,1,1,112
48,12,1,1,1,112
12,48,1,1,1,112
48,48,3,1,2,56
24,48,1,1,1,56
16,48,1,1,1,56
48,48,3,2,2,56
24,48,1,2,1,56
16,48,1,2,1,56
48,48,1,1,1,56
48,12,1,1,1,56
12,48,1,1,1,56
72,72,3,1,3,112
36,72,1,1,1,112
24,72,1,1,1,112
72,72,3,2,3,112
36,72,1,2,1,112
24,72,1,2,1,112
72,72,1,1,1,112
72,18,1,1,1,112
18,72,1,1,1,112
72,72,3,1,3,56
36,72,1,1,1,56
24,72,1,1,1,56
72,72,3,2,3,56
36,72,1,2,1,56
24,72,1,2,1,56
72,72,1,1,1,56
72,18,1,1,1,56
18,72,1,1,1,56
96,96,3,1,4,112
48,96,1,1,1,112
32,96,1,1,1,112
96,96,3,2,4,112
48,96,1,2,1,112
32,96,1,2,1,112
96,96,1,1,1,112
96,24,1,1,1,112
24,96,1,1,1,112
96,96,3,1,4,56
48,96,1,1,1,56
32,96,1,1,1,56
96,96,3,2,4,56
48,96,1,2,1,56
32,96,1,2,1,56
96,96,1,1,1,56
96,24,1,1,1,56
24,96,1,1,1,56
48,48,3,1,2,56
48,48,3,2,2,56
48,48,1,1,1,56
48,12,1,1,1,56
12,48,1,1,1,56
48,48,3,1,2,28
48,48,3,2,2,28
48,48,1,1,1,28
48,12,1,1,1,28
12,48,1,1,1,28
72,72,3,1,3,56
72,72,3,2,3,56
72,72,1,1,1,56
72,18,1,1,1,56
18,72,1,1,1,56
72,72,3,1,3,28
72,72,3,2,3,28
72,72,1,1,1,28
72,18,1,1,1,28
18,72,1,1,1,28
96,96,3,1,4,56
96,96,3,2,4,56
96,96,1,1,1,56
96,24,1,1,1,56
24,96,1,1,1,56
96,96,3,1,4,28
96,96,3,2,4,28
96,96,1,1,1,28
96,24,1,1,1,28
24,96,1,1,1,28
120,120,3,1,5,56
120,120,3,2,5,56
120,120,1,1,1,56
120,30,1,1,1,56
30,120,1,1,1,56
120,120,3,1,5,28
120,120,3,2,5,28
120,120,1,1,1,28
120,30,1,1,1,28
30,120,1,1,1,28
144,144,3,1,6,56
144,144,3,2,6,56
144,144,1,1,1,56
144,36,1,1,1,56
36,144,1,1,1,56
144,144,3,1,6,28
144,144,3,2,6,28
144,144,1,1,1,28
144,36,1,1,1,28
36,144,1,1,1,28
168,168,3,1,7,56
168,168,3,2,7,56
168,168,1,1,1,56
168,42,1,1,1,56
42,168,1,1,1,56
168,168,3,1,7,28
168,168,3,2,7,28
168,168,1,1,1,28
168,42,1,1,1,28
42,168,1,1,1,28
192,192,3,1,8,56
192,192,3,2,8,56
192,192,1,1,1,56
192,48,1,1,1,56
48,192,1,1,1,56
192,192,3,1,8,28
192,192,3,2,8,28
192,192,1,1,1,28
192,48,1,1,1,28
48,192,1,1,1,28
96,96,3,1,4,28
96,96,3,2,4,28
96,96,1,1,1,28
96,24,1,1,1,28
24,96,1,1,1,28
96,96,3,1,4,14
96,96,3,2,4,14
96,96,1,1,1,14
96,24,1,1,1,14
24,96,1,1,1,14
120,120,3,1,5,28
120,120,3,2,5,28
120,120,1,1,1,28
120,30,1,1,1,28
30,120,1,1,1,28
120,120,3,1,5,14
120,120,3,2,5,14
120,120,1,1,1,14
120,30,1,1,1,14
30,120,1,1,1,14
144,144,3,1,6,28
144,144,3,2,6,28
144,144,1,1,1,28
144,36,1,1,1,28
36,144,1,1,1,28
144,144,3,1,6,14
144,144,3,2,6,14
144,144,1,1,1,14
144,36,1,1,1,14
36,144,1,1,1,14
168,168,3,1,7,28
168,168,3,2,7,28
168,168,1,1,1,28
168,42,1,1,1,28
42,168,1,1,1,28
168,168,3,1,7,14
168,168,3,2,7,14
168,168,1,1,1,14
168,42,1,1,1,14
42,168,1,1,1,14
192,192,3,1,8,28
192,192,3,2,8,28
192,192,1,1,1,28
192,48,1,1,1,28
48,192,1,1,1,28
192,192,3,1,8,14
192,192,3,2,8,14
192,192,1,1,1,14
192,48,1,1,1,14
48,192,1,1,1,14
216,216,3,1,9,28
216,216,3,2,9,28
216,216,1,1,1,28
216,54,1,1,1,28
54,216,1,1,1,28
216,216,3,1,9,14
216,216,3,2,9,14
216,216,1,1,1,14
216,54,1,1,1,14
54,216,1,1,1,14
240,240,3,1,10,28
240,240,3,2,10,28
240,240,1,1,1,28
240,60,1,1,1,28
60,240,1,1,1,28
240,240,3,1,10,14
240,240,3,2,10,14
240,240,1,1,1,14
240,60,1,1,1,14
60,240,1,1,1,14
264,264,3,1,11,28
264,264,3,2,11,28
264,264,1,1,1,28
264,66,1,1,1,28
66,264,1,1,1,28
264,264,3,1,11,14
264,264,3,2,11,14
264,264,1,1,1,14
264,66,1,1,1,14
66,264,1,1,1,14
288,288,3,1,12,28
288,288,3,2,12,28
288,288,1,1,1,28
288,72,1,1,1,28
72,288,1,1,1,28
288,288,3,1,12,14
288,288,3,2,12,14
288,288,1,1,1,14
288,72,1,1,1,14
72,288,1,1,1,14
312,312,3,1,13,28
312,312,3,2,13,28
312,312,1,1,1,28
312,78,1,1,1,28
78,312,1,1,1,28
312,312,3,1,13,14
312,312,3,2,13,14
312,312,1,1,1,14
312,78,1,1,1,14
78,312,1,1,1,14
336,336,3,1,14,28
336,336,3,2,14,28
336,336,1,1,1,28
336,84,1,1,1,28
84,336,1,1,1,28
336,336,3,1,14,14
336,336,3,2,14,14
336,336,1,1,1,14
336,84,1,1,1,14
84,336,1,1,1,14
360,360,3,1,15,28
360,360,3,2,15,28
360,360,1,1,1,28
360,90,1,1,1,28
90,360,1,1,1,28
360,360,3,1,15,14
360,360,3,2,15,14
360,360,1,1,1,14
360,90,1,1,1,14
90,360,1,1,1,14
384,384,3,1,16,28
384,384,3,2,16,28
384,384,1,1,1,28
384,96,1,1,1,28
96,384,1,1,1,28
384,384,3,1,16,14
384,384,3,2,16,14
384,384,1,1,1,14
384,96,1,1,1,14
96,384,1,1,1,14
192,192,3,1,8,14
192,192,3,2,8,14
192,192,1,1,1,14
192,48,1,1,1,14
48,192,1,1,1,14
192,192,3,1,8,7
192,192,3,2,8,7
192,192,1,1,1,7
192,48,1,1,1,7
48,192,1,1,1,7
216,216,3,1,9,14
216,216,3,2,9,14
216,216,1,1,1,14
216,54,1,1,1,14
54,216,1,1,1,14
216,216,3,1,9,7
216,216,3,2,9,7
216,216,1,1,1,7
216,54,1,1,1,7
54,216,1,1,1,7
240,240,3,1,10,14
240,240,3,2,10,14
240,240,1,1,1,14
240,60,1,1,1,14
60,240,1,1,1,14
240,240,3,1,10,7
240,240,3,2,10,7
240,240,1,1,1,7
240,60,1,1,1,7
60,240,1,1,1,7
264,264,3,1,11,14
264,264,3,2,11,14
264,264,1,1,1,14
264,66,1,1,1,14
66,264,1,1,1,14
264,264,3,1,11,7
264,264,3,2,11,7
264,264,1,1,1,7
264,66,1,1,1,7
66,264,1,1,1,7
288,288,3,1,12,14
288,288,3,2,12,14
288,288,1,1,1,14
288,72,1,1,1,14
72,288,1,1,1,14
288,288,3,1,12,7
288,288,3,2,12,7
288,288,1,1,1,7
288,72,1,1,1,7
72,288,1,1,1,7
312,312,3,1,13,14
312,312,3,2,13,14
312,312,1,1,1,14
312,78,1,1,1,14
78,312,1,1,1,14
312,312,3,1,13,7
312,312,3,2,13,7
312,312,1,1,1,7
312,78,1,1,1,7
78,312,1,1,1,7
336,336,3,1,14,14
336,336,3,2,14,14
336,336,1,1,1,14
336,84,1,1,1,14
84,336,1,1,1,14
336,336,3,1,14,7
336,336,3,2,14,7
336,336,1,1,1,7
336,84,1,1,1,7
84,336,1,1,1,7
360,360,3,1,15,14
360,360,3,2,15,14
360,360,1,1,1,14
360,90,1,1,1,14
90,360,1,1,1,14
360,360,3,1,15,7
360,360,3,2,15,7
360,360,1,1,1,7
360,90,1,1,1,7
90,360,1,1,1,7
384,384,3,1,16,14
384,384,3,2,16,14
384,384,1,1,1,14
384,96,1,1,1,14
96,384,1,1,1,14
384,384,3,1,16,7
384,384,3,2,16,7
384,384,1,1,1,7
384,96,1,1,1,7
96,384,1,1,1,7
408,408,3,1,17,14
408,408,3,2,17,14
408,408,1,1,1,14
408,102,1,1,1,14
102,408,1,1,1,14
408,408,3,1,17,7
408,408,3,2,17,7
408,408,1,1,1,7
408,102,1,1,1,7
102,408,1,1,1,7
432,432,3,1,18,14
432,432,3,2,18,14
432,432,1,1,1,14
432,108,1,1,1,14
108,432,1,1,1,14
432,432,3,1,18,7
432,432,3,2,18,7
432,432,1,1,1,7
432,108,1,1,1,7
108,432,1,1,1,7
456,456,3,1,19,14
456,456,3,2,19,14
456,456,1,1,1,14
456,114,1,1,1,14
114,456,1,1,1,14
456,456,3,1,19,7
456,456,3,2,19,7
456,456,1,1,1,7
456,114,1,1,1,7
114,456,1,1,1,7
480,480,3,1,20,14
480,480,3,2,20,14
480,480,1,1,1,14
480,120,1,1,1,14
120,480,1,1,1,14
480,480,3,1,20,7
480,480,3,2,20,7
480,480,1,1,1,7
480,120,1,1,1,7
120,480,1,1,1,7
504,504,3,1,21,14
504,504,3,2,21,14
504,504,1,1,1,14
504,126,1,1,1,14
126,504,1,1,1,14
504,504,3,1,21,7
504,504,3,2,21,7
504,504,1,1,1,7
504,126,1,1,1,7
126,504,1,1,1,7
528,528,3,1,22,14
528,528,3,2,22,14
528,528,1,1,1,14
528,132,1,1,1,14
132,528,1,1,1,14
528,528,3,1,22,7
528,528,3,2,22,7
528,528,1,1,1,7
528,132,1,1,1,7
132,528,1,1,1,7
552,552,3,1,23,14
552,552,3,2,23,14
552,552,1,1,1,14
552,138,1,1,1,14
138,552,1,1,1,14
552,552,3,1,23,7
552,552,3,2,23,7
552,552,1,1,1,7
552,138,1,1,1,7
138,552,1,1,1,7
576,576,3,1,24,14
576,576,3,2,24,14
576,576,1,1,1,14
576,144,1,1,1,14
144,576,1,1,1,14
